path,category,decision,confidence,productionCritical,evidence
".env.example","PRODUCTIVE_CONFIG","KEEP_PRODUCTIVE","MEDIUM","false",".gitignore (CONFIG_REFERENCE)"
".env.local.example","PRODUCTIVE_CONFIG","KEEP_PRODUCTIVE","MEDIUM","false",".gitignore (CONFIG_REFERENCE), CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/SETUP_GUIDE.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/VALIDATION.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO-FMCH-CURRENT-SCORER-FUNCTIONAL-AUDIT-001/SCORER_ENTRYPOINTS.md (DOCUMENTATION_ONLY_REFERENCE)"
".env.production.example","PRODUCTIVE_CONFIG","KEEP_PRODUCTIVE","MEDIUM","false",".gitignore (CONFIG_REFERENCE)"
".env.staging.example","PRODUCTIVE_CONFIG","KEEP_PRODUCTIVE","MEDIUM","false",".gitignore (CONFIG_REFERENCE)"
".firebaserc","PRODUCTIVE_FIREBASE","KEEP_PRODUCTIVE","MEDIUM","true","CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/DEVELOPMENT_ENVIRONMENT.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/SUMMARY.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/VALIDATION.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO_MASTER_AUDIT_EVIDENCE.md (DOCUMENTATION_ONLY_REFERENCE)"
".gitignore","PRODUCTIVE_CONFIG","KEEP_PRODUCTIVE","MEDIUM","false","CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE), tests/development-infrastructure.test.mjs (CONFIG_REFERENCE)"
"ARCH_BROADCAST_STUDIO.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"ARCH_DATA_GOVERNANCE.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","AUDIT_ORGANIZER_FLOW.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO_MASTER_AUDIT_FINDINGS.md (DOCUMENTATION_ONLY_REFERENCE), CHARROPRO_MASTER_AUDIT_SECURITY.md (DOCUMENTATION_ONLY_REFERENCE), SPRINT_001_OPERACION_PROFESIONAL.md (DOCUMENTATION_ONLY_REFERENCE)"
"ARCH_EVENT_CATALOG.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"ARCH_INTERNAL_COMPETITIONS.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"AUDIT_ORGANIZER_FLOW.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"BROADCAST_ACCESS_AND_SYNC_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"BROADCAST_ACTION_ENGINE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"BROADCAST_ANNOUNCER_MONITOR_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE), tests/announcer-monitor.test.mjs (CONFIG_REFERENCE)"
"BROADCAST_ASSET_MANAGER_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_BROWSER_OUTPUT_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_COMPONENT_LIBRARY_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_COMPONENT_RENDERER_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_DATA_CONTRACT_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"BROADCAST_OUTPUT_ROUTING_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_OUTPUT_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_PLAYGROUND_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_PREVIEW_ENGINE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_PRODUCTION_VARIABLES_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_PROGRAM_ENGINE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_PROGRAM_MAIN_OUTPUT_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_PROGRAM_PROJECTION_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_REALTIME_LIVE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"BROADCAST_STATE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_TEMPLATE_ENGINE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_TEMPLATE_RENDERER_INTEGRATION_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_THEME_ENGINE_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","DESPLIEGUE_CHARROPRO.md (DOCUMENTATION_ONLY_REFERENCE)"
"BROADCAST_THEME_TEMPLATE_INTEGRATION_V1.md","DOCUMENTATION_CURRENT","KEEP_AUTHORITY","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/RISKS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/ROLLBACK.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/TEST_RESULTS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/VALIDATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-AND-RECOVERY-FOUNDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-RESTORE-VALIDATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
